SubmissionId,LeadId,SubChannelId,SubChannelName,MarketingUnitId,MUName,TrackId,CampaignName,ClientRelationshipId,CountAgainstCap
13490307,16907712,5,Traditional Display,225,Quinst Premier,ED119B85-3A59-4FC9-A0CB-2F76E0703AA3,display_ec_quinst_General_CA_tier2_mpe,8195,1
13490312,16907711,20,Clicks,211,Clicks Partners,46178860-AC5C-4174-AF88-32FB656BA352,Renuant_generalcampaign,8409,1
13490309,16907709,15,Paid Search,28,Head Terms,FFDFD031-155C-4845-B078-46AB9FFA7927,ppc_google_microsite_FTC_exclusiveprime_smartmatch,8655,1
13490309,16907708,15,Paid Search,28,Head Terms,FFDFD031-155C-4845-B078-46AB9FFA7927,ppc_google_microsite_FTC_exclusiveprime_smartmatch,8657,1
13490309,16907707,15,Paid Search,28,Head Terms,FFDFD031-155C-4845-B078-46AB9FFA7927,ppc_google_microsite_FTC_exclusiveprime_smartmatch,2,1
13490309,16907706,15,Paid Search,28,Head Terms,FFDFD031-155C-4845-B078-46AB9FFA7927,ppc_google_microsite_FTC_exclusiveprime_smartmatch,4004,1
13490305,16907705,15,Paid Search,44,FinancialAidV2,786B3A68-E875-4919-9CD3-6B3858C5F4F8,ppc_google_ec_newfinaid_fafsa_RLSA_mpe,8657,1
13490307,16907704,5,Traditional Display,225,Quinst Premier,ED119B85-3A59-4FC9-A0CB-2F76E0703AA3,display_ec_quinst_General_CA_tier2_mpe,8568,1
13490231,16907624,15,Paid Search,24,Degree,350E5E16-CC46-4528-8FE4-39FBD1F945A6,ppc_google_ec_degree_cna_new_loan_mpe,8655,1
13490229,16907623,12,Online Partners,126,Jobcase H&P,62ED5806-45CC-4A84-B16C-0F0609029442,Jobcase Campus API,23,1
13490228,16907622,20,Clicks,168,Clicks,C530057B-7D00-42AF-BF28-214C5A4369FF,post.degree.today_triad,8680,1
13490223,16907621,5,Traditional Display,74,Campus Explorer,5891F0C4-2979-4E38-B27F-388C76E0A6B4,display_ec_campusexplorer_medical_mpe,8195,1
13490226,16907620,20,Clicks,168,Clicks,C530057B-7D00-42AF-BF28-214C5A4369FF,post.degree.today_triad,8680,1
13490224,16907619,15,Paid Search,28,Head Terms,61FC0C2A-33E6-439A-9B7F-1C4119B6936A,ppc_google_ec_generic_ht2011_main_mpe_s4,100,1
13490225,16907618,15,Paid Search,28,Head Terms,0C22F183-2722-4EC4-A837-B569230A9638,ppc_google_el_headterm_MPE,91,1
13490225,16907617,15,Paid Search,28,Head Terms,0C22F183-2722-4EC4-A837-B569230A9638,ppc_google_el_headterm_MPE,8655,1
13490225,16907616,15,Paid Search,28,Head Terms,0C22F183-2722-4EC4-A837-B569230A9638,ppc_google_el_headterm_MPE,23,1
